date,month,year,dayofWeekName,day,goal9Completions,sessions,goal3Completions,goal5Completions,goal12Completions
2016-01-01,01,2016,Friday,01,0,183,0,0,0
2016-01-02,01,2016,Saturday,02,1,256,1,3,0
2016-01-03,01,2016,Sunday,03,0,429,0,4,1
2016-01-04,01,2016,Monday,04,0,122,0,0,0
2016-01-05,01,2016,Tuesday,05,0,384,4,7,4
2016-01-06,01,2016,Wednesday,06,0,295,5,0,0
2016-01-07,01,2016,Thursday,07,0,140,0,0,0
2016-01-08,01,2016,Friday,08,0,267,0,0,1
2016-01-09,01,2016,Saturday,09,1,328,1,2,2
2016-01-10,01,2016,Sunday,10,3,496,6,1,3
2016-01-11,01,2016,Monday,11,1,358,4,0,0
2016-01-12,01,2016,Tuesday,12,0,195,1,1,2
2016-01-13,01,2016,Wednesday,13,1,366,3,0,3
2016-01-14,01,2016,Thursday,14,2,314,2,3,1
2016-01-15,01,2016,Friday,15,7,1254,4,8,9
2016-01-16,01,2016,Saturday,16,0,155,0,0,3
2016-01-17,01,2016,Sunday,17,1,350,2,4,3
2016-01-18,01,2016,Monday,18,1,98,0,0,4
2016-01-19,01,2016,Tuesday,19,0,295,5,0,0
2016-01-20,01,2016,Wednesday,20,1,138,3,5,1
2016-01-21,01,2016,Thursday,21,0,189,0,0,1
2016-01-22,01,2016,Friday,22,2,232,4,2,2
2016-01-23,01,2016,Saturday,23,0,150,0,0,1
2016-01-24,01,2016,Sunday,24,0,370,1,0,0
2016-01-25,01,2016,Monday,25,0,175,1,1,0
2016-01-26,01,2016,Tuesday,26,0,250,4,0,0
2016-01-27,01,2016,Wednesday,27,0,283,0,0,0
2016-01-28,01,2016,Thursday,28,0,188,3,0,2
2016-01-29,01,2016,Friday,29,2,314,0,1,1
2016-01-30,01,2016,Saturday,30,4,368,2,6,2
2016-01-31,01,2016,Sunday,31,2,333,3,4,4
2016-02-01,02,2016,Monday,01,0,397,0,0,0
2016-02-02,02,2016,Tuesday,02,0,213,1,0,0
2016-02-03,02,2016,Wednesday,03,4,201,0,0,1
2016-02-04,02,2016,Thursday,04,2,351,2,0,4
2016-02-05,02,2016,Friday,05,0,178,0,2,0
2016-02-06,02,2016,Saturday,06,1,238,4,0,0
2016-02-07,02,2016,Sunday,07,3,116,0,0,0
2016-02-08,02,2016,Monday,08,3,117,0,0,0
2016-02-09,02,2016,Tuesday,09,0,263,0,0,0
2016-02-10,02,2016,Wednesday,10,1,387,2,4,3
2016-02-11,02,2016,Thursday,11,0,251,0,2,3
2016-02-12,02,2016,Friday,12,1,116,0,0,0
2016-02-13,02,2016,Saturday,13,1,292,4,1,1
2016-02-14,02,2016,Sunday,14,3,312,5,4,1
2016-02-15,02,2016,Monday,15,0,99,0,0,1
2016-02-16,02,2016,Tuesday,16,0,125,2,5,1
2016-02-17,02,2016,Wednesday,17,1,309,0,0,0
2016-02-18,02,2016,Thursday,18,0,110,0,0,0
2016-02-19,02,2016,Friday,19,2,243,1,0,3
2016-02-20,02,2016,Saturday,20,2,310,1,0,1
2016-02-21,02,2016,Sunday,21,1,150,3,3,1
2016-02-22,02,2016,Monday,22,1,309,5,0,0
2016-02-23,02,2016,Tuesday,23,0,290,7,3,3
2016-02-24,02,2016,Wednesday,24,5,406,6,4,5
2016-02-25,02,2016,Thursday,25,2,310,0,0,0
2016-02-26,02,2016,Friday,26,1,280,2,0,0
2016-02-27,02,2016,Saturday,27,0,187,1,2,1
2016-02-28,02,2016,Sunday,28,2,627,5,0,1
2016-02-29,02,2016,Monday,29,2,262,0,0,2
2016-03-01,03,2016,Tuesday,01,0,387,4,7,3
2016-03-02,03,2016,Wednesday,02,1,186,0,0,1
2016-03-03,03,2016,Thursday,03,0,235,0,0,0
