date,month,year,dayofWeekName,day,goal9Completions,sessions,goal3Completions,goal5Completions,goal12Completions
2016-01-01,01,2016,Friday,01,0,225,0,0,0
2016-01-02,01,2016,Saturday,02,2,262,0,0,0
2016-01-03,01,2016,Sunday,03,1,262,1,4,2
2016-01-04,01,2016,Monday,04,0,305,4,1,3
2016-01-05,01,2016,Tuesday,05,0,346,0,1,3
2016-01-06,01,2016,Wednesday,06,1,622,3,4,4
2016-01-07,01,2016,Thursday,07,2,303,1,0,4
2016-01-08,01,2016,Friday,08,0,128,0,0,0
2016-01-09,01,2016,Saturday,09,0,238,6,3,1
2016-01-10,01,2016,Sunday,10,0,204,1,3,0
2016-01-11,01,2016,Monday,11,0,336,1,0,1
2016-01-12,01,2016,Tuesday,12,3,302,2,0,1
2016-01-13,01,2016,Wednesday,13,0,362,3,0,0
2016-01-14,01,2016,Thursday,14,1,311,1,0,0
2016-01-15,01,2016,Friday,15,0,162,0,0,0
2016-01-16,01,2016,Saturday,16,0,388,1,0,0
2016-01-17,01,2016,Sunday,17,0,198,0,0,2
2016-01-18,01,2016,Monday,18,0,312,4,0,0
2016-01-19,01,2016,Tuesday,19,0,442,1,0,2
2016-01-20,01,2016,Wednesday,20,1,136,4,2,1
2016-01-21,01,2016,Thursday,21,0,329,0,3,1
2016-01-22,01,2016,Friday,22,1,260,1,1,1
2016-01-23,01,2016,Saturday,23,1,235,1,1,1
2016-01-24,01,2016,Sunday,24,0,192,0,0,0
2016-01-25,01,2016,Monday,25,1,221,3,1,1
2016-01-26,01,2016,Tuesday,26,1,231,0,0,4
2016-01-27,01,2016,Wednesday,27,0,244,4,0,0
2016-01-28,01,2016,Thursday,28,1,201,0,0,0
2016-01-29,01,2016,Friday,29,2,365,3,4,1
2016-01-30,01,2016,Saturday,30,2,303,1,1,3
2016-01-31,01,2016,Sunday,31,0,144,0,1,3
2016-02-01,02,2016,Monday,01,2,486,1,3,2
2016-02-02,02,2016,Tuesday,02,3,182,1,0,1
2016-02-03,02,2016,Wednesday,03,2,287,2,3,3
2016-02-04,02,2016,Thursday,04,4,426,2,2,2
2016-02-05,02,2016,Friday,05,0,316,0,0,0
2016-02-06,02,2016,Saturday,06,1,287,2,0,2
2016-02-07,02,2016,Sunday,07,0,295,0,0,0
2016-02-08,02,2016,Monday,08,0,182,0,2,1
2016-02-09,02,2016,Tuesday,09,0,149,1,0,0
