X1,Partner Segmentation,Company Status,Company Size,company_ID,industry,date_became_partner,company_location
1,Hiring Partner,Partner,Micro (0-14),company_1,Finance,25/11/2017,Laguna
2,Hiring Partner,Partner,Small (15-49),company_2,Transportation,05/08/2019,Ankou
3,Hiring Partner,Partner,Micro (0-14),company_3,Finance,31/12/2017,Munka-Ljungby
4,Hiring Partner,Partner,Micro (0-14),company_4,Capital Goods,19/08/2016,Anping
5,Hiring Partner,Partner,Large (250+),company_5,n/a,26/06/2016,Pedro Santana
6,Hiring Partner,Partner,Micro (0-14),company_6,Capital Goods,29/08/2017,Asamankese
7,Hiring Partner,Partner,Micro (0-14),company_7,Health Care,08/12/2018,Urengoy
8,Hiring Partner,Partner,Medium (50-249),company_8,n/a,03/06/2016,Vänersborg
9,Hiring Partner,Partner,Small (15-49),company_9,Finance,23/02/2019,Yoshkar-Ola
10,Hiring Partner,Partner,Micro (0-14),company_10,Finance,23/04/2019,Hotaka
11,Hiring Partner,Partner,Micro (0-14),company_11,n/a,29/02/2016,Shanyang
12,Hiring Partner,Partner,Micro (0-14),company_12,Finance,28/02/2016,Chantilly
13,Hiring Partner,Partner,Medium (50-249),company_13,Finance,16/05/2019,Elvas
14,Client Experience,Partner,Large (250+),company_14,n/a,27/11/2018,Tsiatsan
15,Hiring Partner,Partner,Small (15-49),company_15,Consumer Services,12/03/2017,Balangkayan
16,Hiring Partner,Partner,Micro (0-14),company_16,Finance,05/11/2018,Bangkal
17,Hiring Partner,Partner,Micro (0-14),company_17,Health Care,24/05/2019,Laingsburg
18,Hiring Partner,Partner,Small (15-49),company_18,Technology,25/03/2018,Tagum
19,Hiring Partner,Partner,Large (250+),company_19,Consumer Services,12/05/2017,Ayia Napa
20,Hiring Partner,Partner,Medium (50-249),company_20,n/a,23/02/2018,Stockholm
21,Hiring Partner,Partner,Micro (0-14),company_21,Finance,12/07/2016,Västra Frölunda
22,Hiring Partner,Partner,Small (15-49),company_22,Finance,17/03/2016,Banjar Beratan
23,Hiring Partner,Partner,Large (250+),company_23,Energy,04/11/2016,Hengqu
24,Hiring Partner,Partner,Micro (0-14),company_24,n/a,28/07/2017,Palon
25,Hiring Partner,Partner,Micro (0-14),company_25,Finance,22/01/2017,Darkūsh
26,Hiring Partner,Partner,Medium (50-249),company_26,Consumer Services,16/02/2016,Brazzaville
27,NA,Non Partner,Micro (0-14),company_27,Technology,10/03/2018,Turnišče
28,Hiring Partner,Partner,Small (15-49),company_28,Energy,27/01/2017,Burao
29,Hiring Partner,Partner,Small (15-49),company_29,n/a,21/04/2016,Bil‘īn
30,Hiring Partner,Partner,Medium (50-249),company_30,Energy,24/05/2018,Ińsko
31,Hiring Partner,Partner,Micro (0-14),company_31,n/a,23/04/2016,Quinta da Courela
32,Hiring Partner,Partner,Micro (0-14),company_32,n/a,21/07/2016,Ipubi
33,Hiring Partner,Partner,Micro (0-14),company_33,Finance,06/02/2017,Guimba
34,Hiring Partner,Partner,Micro (0-14),company_34,Finance,10/04/2018,Krasnovishersk
35,Hiring Partner,Partner,Medium (50-249),company_35,Capital Goods,24/10/2017,Paris La Défense
36,Hiring Partner,Partner,Micro (0-14),company_36,Energy,23/09/2017,Nový Bydžov
37,Hiring Partner,Partner,Micro (0-14),company_37,n/a,29/12/2018,Dayton
38,Hiring Partner,Partner,Micro (0-14),company_38,Consumer Durables,18/09/2017,Vantaa
39,Hiring Partner,Partner,Medium (50-249),company_39,Technology,08/10/2018,Paseka
40,Hiring Partner,Partner,Small (15-49),company_40,Health Care,19/09/2017,Shanghu
41,Hiring Partner,Partner,Large (250+),company_41,Health Care,23/06/2016,Punkaharju
