X1,student_ID,Partner Status,Gender,Age,company_ID,job_title,mailing_city,course_start_date
1,student_1,Non Partner,Male,27,NA,Business Systems Development Analyst,Labin,16/09/2017
2,student_2,Non Partner,Male,37,NA,Staff Accountant IV,Campok,04/01/2016
3,student_3,Hiring Partner,Female,33,company_2,General Manager,Campo de la Cruz,17/04/2019
4,student_4,Hiring Partner,Female,39,company_2,Developer I,Shah Alam,26/05/2019
5,student_5,Hiring Partner,Male,27,company_3,Information Systems Manager,Maruoka,26/11/2017
6,student_6,Hiring Partner,Female,34,company_359,Cost Accountant,Jiaxing,04/03/2018
7,student_7,Non Partner,Female,54,company_359,Electrical Engineer,Kol’chugino,11/11/2017
8,student_8,Non Partner,Male,31,company_359,Administrative Assistant I,Buenos Aires,03/08/2018
9,student_9,Non Partner,Male,51,company_594,Assistant Professor,Pak Phayun,30/08/2018
10,student_10,Non Partner,Male,49,company_159,Physical Therapy Assistant,Järna,10/04/2018
11,student_11,Non Partner,Male,31,company_157,Senior Quality Engineer,Xieba,08/10/2017
12,student_12,Non Partner,Male,52,company_605,Computer Systems Analyst I,La Guadalupe,19/01/2016
13,student_13,Hiring Partner,Male,35,company_4,Analog Circuit Design manager,Szczawno-Zdrój,12/02/2019
14,student_14,Hiring Partner,Male,34,company_101,Electrical Engineer,Napnapan,21/06/2017
15,student_15,Hiring Partner,Female,37,company_101,Assistant Professor,Capinzal,28/10/2017
16,student_16,Hiring Partner,Male,39,company_101,Associate Professor,Abaca,21/09/2018
17,student_17,Hiring Partner,Male,27,company_101,Food Chemist,Kallíthiron,02/09/2019
18,student_18,Hiring Partner,Male,33,company_101,Occupational Therapist,Karangpari,02/12/2018
19,student_19,Hiring Partner,Female,40,company_101,Technical Writer,Muraloka,10/03/2016
20,student_20,Hiring Partner,Male,43,company_101,Safety Technician I,Rawawilis,05/02/2019
21,student_21,Hiring Partner,Male,38,company_101,VP Accounting,Xinzhu,19/01/2017
22,student_22,Hiring Partner,Male,32,company_5,Research Nurse,Komaki,30/12/2018
23,student_23,Hiring Partner,Female,25,company_5,Sales Representative,Paraíso das Águas,19/02/2018
24,student_24,Hiring Partner,Female,0,company_5,Marketing Assistant,Liloan,14/01/2019
25,student_25,Hiring Partner,Male,31,company_5,Software Test Engineer III,Kaset Wisai,18/04/2019
26,student_26,Hiring Partner,Male,31,company_5,Human Resources Manager,Caridad,20/09/2019
27,student_27,Hiring Partner,Female,33,company_5,VP Sales,Jelah,11/03/2019
