date,month,year,dayofWeekName,day,goal9Completions,sessions,goal3Completions,goal5Completions,goal12Completions
2017-04-01,04,2017,Saturday,01,2,363,0,0,1
2017-04-02,04,2017,Sunday,02,1,177,2,3,3
2017-04-03,04,2017,Monday,03,1,373,0,3,1
2017-04-04,04,2017,Tuesday,04,0,1,0,0,0
2017-04-05,04,2017,Wednesday,05,4,198,1,1,1
2017-04-06,04,2017,Thursday,06,2,410,6,6,3
2017-04-07,04,2017,Friday,07,1,259,1,1,2
2017-04-08,04,2017,Saturday,08,1,386,2,1,2
2017-04-09,04,2017,Sunday,09,1,305,2,0,1
2017-04-10,04,2017,Monday,10,1,198,1,0,2
2017-04-11,04,2017,Tuesday,11,0,251,1,4,3
2017-04-12,04,2017,Wednesday,12,1,136,0,0,3
2017-04-13,04,2017,Thursday,13,1,378,8,7,5
2017-04-14,04,2017,Friday,14,1,183,0,1,5
2017-04-15,04,2017,Saturday,15,2,223,1,1,1
2017-04-16,04,2017,Sunday,16,1,265,3,2,2
2017-04-17,04,2017,Monday,17,0,314,2,1,1
2017-04-18,04,2017,Tuesday,18,3,157,1,0,2
2017-04-19,04,2017,Wednesday,19,1,148,0,3,1
2017-04-20,04,2017,Thursday,20,1,236,2,2,2
2017-04-21,04,2017,Friday,21,2,146,0,0,2
2017-04-22,04,2017,Saturday,22,2,476,2,5,3
2017-04-23,04,2017,Sunday,23,0,309,0,0,0
2017-04-24,04,2017,Monday,24,1,209,2,2,3
2017-04-25,04,2017,Tuesday,25,0,260,1,0,1
2017-04-26,04,2017,Wednesday,26,1,629,1,2,2
2017-04-27,04,2017,Thursday,27,0,286,4,4,3
2017-04-28,04,2017,Friday,28,1,129,0,1,1
2017-04-29,04,2017,Saturday,29,5,267,2,1,3
2017-04-30,04,2017,Sunday,30,2,476,3,8,8
2017-05-01,05,2017,Monday,01,1,519,5,2,4
2017-05-02,05,2017,Tuesday,02,1,136,0,0,4
2017-05-03,05,2017,Wednesday,03,2,233,1,1,3
2017-05-04,05,2017,Thursday,04,1,146,0,4,0
2017-05-05,05,2017,Friday,05,5,554,5,5,3
2017-05-06,05,2017,Saturday,06,1,251,0,3,1
2017-05-07,05,2017,Sunday,07,2,299,2,1,1
2017-05-08,05,2017,Monday,08,0,248,3,2,1
2017-05-09,05,2017,Tuesday,09,1,309,7,10,6
2017-05-10,05,2017,Wednesday,10,3,389,5,3,3
2017-05-11,05,2017,Thursday,11,1,340,1,0,2
